CellNum	Stage	Mother/daughter	mtDNA rep observed	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Min	Max	X	Y	XM	YM	IntDen	Median	RawIntDen
				1	1	1	cytoplasm	DAPI	17	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.255	33.179	11.348	10	83	14.787	8.474	14.789	8.484	8.473	32	17220
				1	1	1	cytoplasm	EdU	18	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.255	57.969	14.545	17	105	14.787	8.474	14.785	8.48	14.804	57	30086
2	T	D		1	1	1	cell	DAPI	19	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	5.776	87.982	73.114	8	255	14.644	11.305	14.392	11.517	508.169	58	1032736
				1	1	1	cell	EdU	20	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	5.776	45.925	14.817	9	114	14.644	11.305	14.658	11.313	265.253	45	539065
				1	1	1	nuclei	DAPI	21	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.928	222.777	39.607	55	255	14.146	11.534	14.151	11.536	206.634	238	419935
				1	1	1	nuclei	EdU	22	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.928	51.917	14.039	18	107	14.146	11.534	14.162	11.532	48.155	50	97864
				1	1	1	cytoplasm	DAPI	23	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.17	41.672	13.984	14	101	15.352	11.502	15.34	11.502	7.074	40	14377
				1	1	1	cytoplasm	EdU	24	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.17	47.907	13.664	20	103	15.352	11.502	15.349	11.504	8.133	47	16528
3	G1	M	1	1	1	1	cell	DAPI	25	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.289	61.299	58.003	8	255	7.754	8.994	7.483	9.38	630.7	40	1281753
				1	1	1	cell	EdU	26	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.289	41.389	13.725	9	116	7.754	8.994	7.713	9.027	425.851	40	865444
				1	1	1	nuclei	DAPI	27	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.211	192.615	57.671	50	255	7.132	9.743	7.126	9.768	233.25	207	474026
				1	1	1	nuclei	EdU	28	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.211	47.7	14.297	14	116	7.132	9.743	7.152	9.724	57.763	46	117390
				1	1	1	cytoplasm	DAPI	29	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.262	34.85	11.672	12	82	7.842	7.901	7.843	7.904	9.123	33	18540
				1	1	1	cytoplasm	EdU	30	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.262	43.594	13.014	11	96	7.842	7.901	7.841	7.899	11.412	42	23192
4	G1	M		1	1	1	cell	DAPI	31	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	7.398	77.389	73.756	8	255	6.483	13.052	6.588	13.027	572.538	47	1163551
				1	1	1	cell	EdU	32	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	7.398	39.497	13.868	9	122	6.483	13.052	6.5	13.044	292.202	38	593833
				1	1	1	nuclei	DAPI	33	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.982	233.675	33.798	76	255	6.788	12.69	6.78	12.699	229.505	255	466415
				1	1	1	nuclei	EdU	34	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.982	48.9	13.901	18	112	6.788	12.69	6.786	12.69	48.028	47	97605
				1	1	1	cytoplasm	DAPI	35	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.197	40.318	14.517	10	92	7.598	13.064	7.577	13.063	7.935	40	16127
				1	1	1	cytoplasm	EdU	36	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.197	38.593	12.134	9	82	7.598	13.064	7.587	13.066	7.596	38	15437
5	eG1	M	1	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	11.871	65.914	61.563	8	255	12.648	17.193	12.489	17.548	782.491	41	1590232
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	11.871	38.51	13.532	9	124	12.648	17.193	12.632	17.231	457.168	37	929088
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.484	189.022	52.841	41	255	12.389	18.248	12.366	18.245	280.519	196	570090
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.484	46.024	13.813	14	120	12.389	18.248	12.39	18.221	68.301	44	138807
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.272	34.613	11.612	13	87	13.887	17.926	13.881	17.929	9.419	33	19141
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.272	37.618	11.3	15	78	13.887	17.926	13.884	17.928	10.236	36	20803
5	eG1	D		1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	8.04	70.052	67.783	8	255	16.954	17.047	16.659	17.199	563.204	42	1144582
				1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	8.04	43.115	13.699	10	119	16.954	17.047	16.924	17.046	346.638	42	704461
				1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.041	208.935	47.753	53	255	16.282	17.538	16.273	17.52	217.544	224	442107
				1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.041	50.355	13.963	17	110	16.282	17.538	16.293	17.527	52.43	49	106551
				1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.452	29.755	11.506	8	88	17.707	17.939	17.699	17.933	13.455	28	27345
				1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.452	40.689	12.125	11	83	17.707	17.939	17.699	17.931	18.4	39	37393
6	G1	D	1	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	10.132	74.683	64.013	8	255	8.5	15.888	8.491	15.857	756.655	51	1537726
				1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	10.132	49.196	17.491	9	140	8.5	15.888	8.476	15.853	498.435	47	1012954
				1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	1.241	211.256	52.446	47	255	8.849	15.726	8.862	15.71	262.267	236	532998
				1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	1.241	63.399	15.825	16	140	8.849	15.726	8.855	15.727	78.708	62	159955
				1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series002_w_nums.tif:1	0.277	34.876	13.008	9	86	9.57	16.805	9.557	16.795	9.662	33	19635
				1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series002_w_nums.tif:2	0.277	39.389	12.677	13	84	9.57	16.805	9.558	16.794	10.912	38	22176
7	A	M	1	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	11.247	50.724	38.729	8	255	5.6	4.089	5.282	4.252	570.486	40	1461620
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	11.247	37.752	12.02	9	105	5.6	4.089	5.57	4.073	424.586	36	1087815
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.072	126.012	47.627	24	255	4.6	4.289	4.54	4.348	135.108	120	346154
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.072	39.019	12.021	11	96	4.6	4.289	4.575	4.296	41.835	38	107185
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.219	39.368	14.01	9	98	5.258	3.125	5.257	3.136	8.605	37	22046
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.219	40.721	12.148	16	84	5.258	3.125	5.251	3.126	8.901	39	22804
7	A	D		1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	5.752	30.372	28.469	7	255	2.037	5.736	2.346	5.792	174.703	24	447599
				1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	5.752	39.74	12.544	9	115	2.037	5.736	2.062	5.751	228.586	38	585652
				1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.179	161.926	45.409	52	255	3.276	5.487	3.296	5.479	28.946	163	74162
				1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.179	38.998	11.853	12	80	3.276	5.487	3.264	5.501	6.971	39	17861
				1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.173	22.833	9.689	8	60	2.404	4.989	2.405	4.994	3.957	21	10138
				1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.173	40.624	12.471	18	92	2.404	4.989	2.401	4.988	7.04	39	18037
8	G1	M	1	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.392	79.248	70.723	8	255	8.212	10.275	8.343	10.676	585.809	49	1500879
				1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.392	55.684	18.747	10	158	8.212	10.275	8.252	10.317	411.621	53	1054599
				1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.552	231.41	35.644	76	255	8.6	11.293	8.59	11.286	127.805	255	327445
				1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.552	62.926	19.575	16	144	8.6	11.293	8.606	11.268	34.753	61	89040
				1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.194	44.054	13.506	15	95	8.834	9.689	8.834	9.691	8.529	43	21851
				1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.194	55.786	16.042	22	125	8.834	9.689	8.832	9.695	10.8	54	27670
9	M	M	1	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	7.88	107.988	84.393	8	255	9.815	14.454	9.512	14.166	850.946	69	2180175
				1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	7.88	59.83	20.713	11	173	9.815	14.296	9.768	14.223	471.463	58	1207916
				1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.932	221.92	43.445	35	255	9.147	13.954	9.168	13.939	428.758	241	1098503
				1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.932	67.203	20.21	13	161	9.147	13.954	9.19	13.888	129.84	66	332657
				1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.122	33.371	12.891	9	90	9.387	15.709	9.39	15.705	4.077	32	10445
				1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.122	45.115	13.796	14	103	9.387	15.709	9.386	15.701	5.512	43	14121
10	G1	M		1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.771	70.066	63.248	8	255	10.395	6.589	10.577	6.851	684.594	48	1753972
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.771	52.151	17.339	11	153	10.395	6.589	10.445	6.618	509.551	50	1305500
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.158	216.586	43.304	63	255	10.824	7.198	10.82	7.181	250.734	232	642395
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.158	65.373	17.622	21	153	10.824	7.198	10.823	7.183	75.68	64	193896
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.138	40.323	13.929	12	89	10.785	8.251	10.782	8.247	5.556	40	14234
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.138	51.816	14.744	22	110	10.785	8.251	10.785	8.249	7.139	50	18291
11	G1	M	1	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.592	78.11	73.268	8	255	13.893	6.694	13.816	6.984	514.895	47	1319192
				1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.592	50.978	18.37	9	143	13.873	6.576	13.844	6.618	336.042	49	860960
				1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.864	233.412	34.689	77	255	13.893	7.371	13.902	7.356	201.703	255	516775
				1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.864	60.261	18.559	14	140	13.893	7.371	13.892	7.343	52.074	58	133418
				1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.174	47.031	15.332	15	101	13.756	6.465	13.756	6.478	8.187	45	20976
				1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.174	61.706	17.196	22	127	13.756	6.465	13.756	6.47	10.742	59	27521
12	G1	M		1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.429	76.495	66.176	8	255	5.013	15.994	5.403	16.326	721.285	51	1847975
				1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.429	48.89	14.777	9	136	5.013	15.994	5.064	16.025	460.988	47	1181080
				1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.18	215.576	46.279	49	255	5.94	16.732	5.958	16.735	254.36	234	651686
				1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.18	54.765	14.824	18	122	5.94	16.732	5.934	16.723	64.618	54	165556
				1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.276	41.19	15.639	11	102	4.008	16.419	4.027	16.428	11.35	39	29080
				1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.276	51.013	14.605	19	110	4.008	16.419	4.015	16.419	14.057	49	36015
13	G1	M	1	1	1	1	cell	DAPI	20	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	6.186	83.996	73.646	8	255	6.047	12.731	6.117	12.557	519.572	52	1331174
				1	1	1	cell	EdU	21	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	6.186	50.451	16.231	12	138	6.047	12.632	6.064	12.598	312.074	49	799552
				1	1	1	nuclei	DAPI	22	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.676	246.601	21.416	102	255	6.148	12.192	6.148	12.197	166.61	255	426866
				1	1	1	nuclei	EdU	23	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.676	64.817	16.87	25	138	6.148	12.192	6.152	12.193	43.792	63	112199
				1	1	1	cytoplasm	DAPI	24	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.116	45.46	13.266	18	99	6.847	13.492	6.846	13.49	5.288	45	13547
				1	1	1	cytoplasm	EdU	25	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.116	47.158	13.868	19	98	6.847	13.492	6.847	13.495	5.485	46	14053
14	G1	M	1	1	1	1	cell	DAPI	26	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	9.1	52.782	41.563	8	255	4.9	9.262	4.898	9.504	480.339	40	1230657
				1	1	1	cell	EdU	27	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	9.1	48.979	16.348	9	139	4.9	9.262	4.879	9.289	445.734	47	1141998
				1	1	1	nuclei	DAPI	28	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.441	166.152	43.101	50	255	5.12	10.308	5.129	10.303	73.346	167	187918
				1	1	1	nuclei	EdU	29	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.441	62.521	17.665	18	135	5.12	10.308	5.118	10.295	27.599	61	70711
				1	1	1	cytoplasm	DAPI	30	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.132	42.345	13.15	14	99	5.954	9.038	5.953	9.036	5.603	41	14355
				1	1	1	cytoplasm	EdU	31	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.132	50.735	14.469	19	103	5.954	9.038	5.951	9.035	6.713	50	17199
15	G1	M		1	1	1	cell	DAPI	32	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	8.144	66.83	62.205	8	255	13.974	10.422	13.728	10.777	544.249	43	1394400
				1	1	1	cell	EdU	33	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	8.144	53.725	18.595	9	160	13.974	10.422	13.922	10.463	437.529	51	1120975
				1	1	1	nuclei	DAPI	34	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.03	206.403	43.867	52	255	13.409	11.145	13.4	11.141	212.602	215	544698
				1	1	1	nuclei	EdU	35	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.03	66.154	19.979	16	160	13.409	11.145	13.432	11.122	68.14	64	174580
				1	1	1	cytoplasm	DAPI	36	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.206	40.5	13.02	15	90	14.975	10.331	14.972	10.335	8.346	39	21384
				1	1	1	cytoplasm	EdU	37	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.206	53.381	15.516	19	103	14.975	10.331	14.973	10.333	11.001	52	28185
16	G1	M	1	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	10.404	61.096	60.06	8	255	13.518	14.353	13.577	14.767	635.651	38	1628577
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	10.404	54.073	19.248	9	167	13.518	14.353	13.56	14.454	562.585	52	1441378
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	1.068	204.443	49.842	52	255	13.567	15.038	13.549	15.05	218.323	219	559356
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	1.068	68.339	17.944	25	140	13.567	15.038	13.562	15.028	72.978	67	186975
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series004_w_nums.tif:1	0.104	34.519	12.835	10	83	13.297	15.996	13.299	15.991	3.584	32	9182
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series004_w_nums.tif:2	0.104	52.124	16.258	20	122	13.297	15.996	13.297	15.99	5.412	50	13865
17	T	M	1	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	9.877	25.322	16.703	8	142	8.837	5.654	8.98	5.468	250.095	21	535784
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	9.877	49.764	15.332	12	132	8.837	5.654	8.821	5.613	491.506	48	1052965
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	1.385	51.413	19.537	12	142	9.374	5	9.335	5.001	71.204	48	152542
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	1.385	56.604	14.621	16	126	9.374	5	9.355	5.003	78.394	55	167945
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	0.191	20.92	8.794	8	57	8.253	4.629	8.262	4.635	4.004	20	8577
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	0.191	52.917	13.949	20	95	8.253	4.629	8.253	4.632	10.127	51	21696
17	T	D	1	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	6.413	29.834	21.938	8	174	12.321	4.159	12.342	4.403	191.313	23	409854
				1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	6.413	51.852	16.337	11	142	12.321	4.159	12.356	4.149	332.506	50	712336
				1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	0.823	70.961	24.425	15	174	12.455	4.939	12.467	4.945	58.396	68	125104
				1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	0.823	56.214	14.654	15	116	12.455	4.939	12.467	4.922	46.26	55	99105
				1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	0.177	18.984	8.506	8	66	13.288	4.408	13.276	4.418	3.359	18	7195
				1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	0.177	55.058	13.832	24	105	13.288	4.408	13.283	4.41	9.74	54	20867
18	M	M	1	1	1	1	cell	DAPI	14	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	10.706	27.764	24.145	8	186	10.493	16.17	10.599	16.231	297.228	19	636760
				1	1	1	cell	EdU	15	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	10.706	45.304	15.762	9	139	10.493	16.17	10.537	16.193	485.014	44	1039058
				1	1	1	nuclei	DAPI	16	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	1.241	73.084	25.596	17	186	10.992	16.217	10.947	16.189	90.675	71	194256
				1	1	1	nuclei	EdU	17	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	1.241	58.925	15.548	20	139	10.992	16.217	10.985	16.21	73.109	57	156623
				1	1	1	cytoplasm	DAPI	18	MAX_slide2_020818_1.lif - Series008_w_nums.tif:1	0.155	21.306	8.198	8	52	10.801	17.388	10.809	17.395	3.312	20	7095
				1	1	1	cytoplasm	EdU	19	MAX_slide2_020818_1.lif - Series008_w_nums.tif:2	0.155	48.574	12.998	19	88	10.801	17.388	10.806	17.389	7.55	46	16175
19	eG1	M	1	1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	9.911	30.995	28.494	8	236	16.212	2.088	16.057	2.484	307.189	21	461950
				1	1	1	cell	EdU	3	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	9.911	38.392	13.077	9	125	16.212	2.088	16.222	2.122	380.496	37	572189
				1	1	1	nuclei	DAPI	4	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	1.103	83.853	33.036	12	236	15.714	2.998	15.709	3.044	92.452	81	139029
				1	1	1	nuclei	EdU	5	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	1.103	45.753	13.609	15	125	15.714	2.998	15.729	2.985	50.445	44	75859
				1	1	1	cytoplasm	DAPI	6	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	0.259	19	10.918	8	81	15.57	1.941	15.567	1.943	4.915	17	7391
				1	1	1	cytoplasm	EdU	7	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	0.259	38.56	11.503	9	72	15.57	1.941	15.568	1.951	9.975	37	15000
19	eG1	D	1	1	1	1	cell	DAPI	8	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	7.354	31.987	28.902	8	209	15.592	6.024	15.704	6.084	235.232	23	353741
				1	1	1	cell	EdU	9	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	7.354	37.425	12.57	9	105	15.617	6.102	15.621	6.125	275.228	36	413887
				1	1	1	nuclei	DAPI	10	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	0.517	100.425	31.677	33	209	16.037	5.925	16.04	5.937	51.889	97	78030
				1	1	1	nuclei	EdU	11	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	0.517	44.916	12.218	17	92	16.037	5.925	16.039	5.922	23.208	44	34900
				1	1	1	cytoplasm	DAPI	12	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	0.153	19.77	12.092	8	79	15.752	5.039	15.761	5.056	3.024	17	4547
				1	1	1	cytoplasm	EdU	13	MAX_slide2_020818_1.lif - Series014_w_nums.tif:2	0.153	38.77	11.899	12	74	15.752	5.039	15.756	5.047	5.93	37	8917
20	T	M		1	1	1	cell	DAPI	2	MAX_slide2_020818_1.lif - Series014_w_nums.tif:1	11.728	29.581	24.407	7	205	1.845	13.738	1.552	14.039	346.939	22	521725
