CellNum	Stage	Mother/daughter	mtDNA rep observed	ShiftedFlg	LifFile	BioRep	TechRep	EdU	CellPart	Fluor		Label	Area	Mean	StdDev	Mode	Min	Max	X	Y	XM	YM	IntDen	Median	Skew	RawIntDen
				1	Slide1_060818	2	1	1	nuclei	EdU	17	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.107	27.697	9.704	22	8	75	3.321	19.164	3.321	19.162	30.659	26	0.88	61875
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	18	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.243	150.521	31.772	144	73	242	3.506	17.934	3.507	17.94	36.62	148	0.201	73906
				1	Slide1_060818	2	1	1	cytoplasm	EdU	19	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.243	23.593	7.865	19	9	55	3.64	17.644	3.644	17.648	5.74	22	0.759	11584
276	M	M	1	1	Slide1_060818	2	1	1	cell	DAPI	20	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	10.943	170.554	66.47	255	10	255	8.823	17.733	8.672	17.583	1866.358	168	-0.194	3766684
				1	Slide1_060818	2	1	1	cell	EdU	21	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	10.943	25.034	10.102	22	8	88	9.001	17.399	8.993	17.396	273.947	24	0.894	552880
				1	Slide1_060818	2	1	1	nuclei	DAPI	22	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.634	253.598	7.71	255	113	255	8.218	16.74	8.217	16.736	414.412	255	-8.133	836366
				1	Slide1_060818	2	1	1	nuclei	EdU	23	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.634	30	10.552	28	8	88	8.329	16.473	8.337	16.499	49.023	29	0.918	98939
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	24	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.449	136.042	31.952	136	57	233	9.799	17.789	9.792	17.783	61.071	134	0.375	123254
				1	Slide1_060818	2	1	1	cytoplasm	EdU	25	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.449	26.757	9.473	22	8	73	9.91	17.522	9.903	17.528	12.012	25	1.096	24242
277	M	M	1	1	Slide1_060818	2	1	1	cell	DAPI	26	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	10.786	167.604	66.608	255	13	255	12.751	18.67	12.806	18.556	1807.751	161	-0.055	3648402
				1	Slide1_060818	2	1	1	cell	EdU	27	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	10.786	28.029	11.189	24	8	84	12.951	18.358	12.987	18.327	302.314	27	0.793	610130
				1	Slide1_060818	2	1	1	nuclei	DAPI	28	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	2.492	250.975	13.196	255	146	255	12.671	17.981	12.671	17.982	625.385	255	-3.995	1262152
				1	Slide1_060818	2	1	1	nuclei	EdU	29	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	2.492	34.804	11.522	30	8	84	12.804	17.692	12.832	17.706	86.725	33	0.677	175029
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	30	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.672	153.285	31.606	160	66	255	12.207	19.304	12.213	19.303	102.99	152	0.314	207854
				1	Slide1_060818	2	1	1	cytoplasm	EdU	31	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.672	28.472	9.095	27	8	71	12.319	19.037	12.332	19.04	19.13	27	0.705	38608
278	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	10.965	127.068	72.199	255	7	255	14.106	13.809	13.809	13.78	1393.26	111	0.511	2811877
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	10.965	25.466	10.994	18	8	97	14.351	13.497	14.252	13.507	279.23	24	0.881	563542
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.647	246.379	21.045	255	102	255	13.11	14.019	13.108	14.013	405.666	255	-2.92	818716
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.647	31.739	11.042	25	8	89	13.31	13.774	13.349	13.779	52.259	30	0.66	105470
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.232	96.254	27.905	91	32	205	14.675	14.99	14.672	14.982	22.32	92	0.683	45047
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.232	27.573	10.113	23	8	85	14.719	14.723	14.719	14.717	6.394	26	1.334	12904
279	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	12.574	118.445	67.192	255	7	255	18.407	5.434	18.132	5.373	1489.341	103	0.725	3005787
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	12.574	23.578	10.452	19	8	85	18.608	5.122	18.485	5.081	296.477	22	0.96	598349
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.472	246.774	22.407	255	82	255	17.29	5.335	17.294	5.338	363.154	255	-3.431	732918
				1	Slide1_060818	2	1	1	nuclei	EdU	11	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.472	32.027	11.052	27	8	83	17.468	5.024	17.495	5.009	47.131	30	0.737	95120
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	12	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.377	94.459	25.916	85	34	227	19.481	6.432	19.478	6.435	35.617	92	0.553	71883
				1	Slide1_060818	2	1	1	cytoplasm	EdU	13	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.377	21.026	7.506	21	8	58	19.57	6.098	19.563	6.107	7.928	20	0.775	16001
280	eG1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	14	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	10.984	140.606	66.49	255	8	255	2.397	2.776	2.416	2.848	1544.356	136	0.166	3116819
				1	Slide1_060818	2	1	1	cell	EdU	15	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	10.984	24.242	10.231	21	8	85	2.553	2.598	2.613	2.582	266.258	23	0.886	537362
				1	Slide1_060818	2	1	1	nuclei	DAPI	16	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.354	247.845	17.438	255	128	255	3.018	3.177	3.022	3.176	335.626	255	-2.966	677361
				1	Slide1_060818	2	1	1	nuclei	EdU	17	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.354	30.859	10.499	28	8	83	3.107	2.91	3.124	2.909	41.789	29	0.782	84338
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	18	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.408	144.583	31.083	135	65	255	2.028	2.371	2.034	2.368	58.959	142	0.419	118992
				1	Slide1_060818	2	1	1	cytoplasm	EdU	19	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.408	27.417	9.643	21	8	81	2.139	2.126	2.136	2.122	11.18	26	1.133	22564
280	eG1	D	1	1	Slide1_060818	2	1	1	cell	DAPI	20	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	7.763	143.896	74.851	255	8	255	4.646	6.131	4.535	6.173	1117.041	138	0.081	2254412
				1	Slide1_060818	2	1	1	cell	EdU	21	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	7.763	23.966	10.467	17	8	75	4.801	5.908	4.79	5.893	186.042	22	0.859	375469
				1	Slide1_060818	2	1	1	nuclei	DAPI	22	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.241	251.524	11.491	255	156	255	4.46	6.188	4.457	6.19	312.068	255	-4.214	629816
				1	Slide1_060818	2	1	1	nuclei	EdU	23	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.241	31.415	10.488	30	8	75	4.593	5.898	4.595	5.9	38.977	30	0.767	78664
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	24	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.166	145.911	31.364	143	81	249	5.032	7.043	5.027	7.039	24.292	145	0.345	49026
				1	Slide1_060818	2	1	1	cytoplasm	EdU	25	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.166	27.036	9.591	19	9	73	5.21	6.709	5.207	6.709	4.501	26	0.907	9084
281	M	M	1	1	Slide1_060818	2	1	1	cell	DAPI	26	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	11.924	155.51	71.419	255	7	255	12.136	10.496	11.966	10.472	1854.302	151	-0.049	3742352
				1	Slide1_060818	2	1	1	cell	EdU	27	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	11.924	26.251	11.218	23	8	93	12.314	10.006	12.252	10.071	313.022	25	0.818	631740
				1	Slide1_060818	2	1	1	nuclei	DAPI	28	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	2.108	250.212	16.208	255	106	255	11.349	10.799	11.347	10.789	527.401	255	-4.268	1064401
				1	Slide1_060818	2	1	1	nuclei	EdU	29	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	2.108	33.649	11.294	31	9	88	11.438	10.487	11.454	10.482	70.926	32	0.767	143143
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	30	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.414	121.501	32.166	124	38	224	12.723	11.44	12.699	11.437	50.269	120	0.225	101453
				1	Slide1_060818	2	1	1	cytoplasm	EdU	31	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.414	25.234	8.679	18	8	62	12.879	11.106	12.869	11.106	10.44	24	0.738	21070
282	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	9.225	150.203	69.506	255	7	255	8.576	8.66	8.666	8.7	1385.633	144	0.073	2796484
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	9.225	24.614	10.627	18	8	92	8.888	8.326	8.914	8.393	227.063	23	0.935	458258
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.387	246.992	19.767	255	98	255	9.034	8.332	9.026	8.336	342.671	255	-2.943	691578
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.387	30.726	10.58	26	8	92	9.235	8.087	9.232	8.109	42.628	29	0.86	86032
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.29	146.843	32.972	150	71	242	7.66	9.422	7.668	9.42	42.637	147	0.243	86050
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.29	24.645	9.256	21	8	67	7.838	9.199	7.843	9.194	7.156	23	1.035	14442
283	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	15.17	138.558	63.843	255	7	255	12.134	5.661	12.07	5.699	2101.925	129	0.37	4242104
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	15.17	26.232	10.981	21	8	99	12.513	5.193	12.454	5.281	397.94	25	0.95	803122
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	1.842	248.703	16.007	255	135	255	11.682	6.578	11.679	6.575	458.17	255	-3.222	924679
				1	Slide1_060818	2	1	1	nuclei	EdU	11	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	1.842	34.185	11.631	28	9	94	11.905	6.222	11.92	6.23	62.977	33	0.802	127100
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	12	MAX_slide1_060818.lif - Series101_w_nums-1.tif:1	0.32	117.287	28.858	117	54	217	13.362	5.964	13.358	5.957	37.484	116	0.354	75650
				1	Slide1_060818	2	1	1	cytoplasm	EdU	13	MAX_slide1_060818.lif - Series101_w_nums-1.tif:2	0.32	27.284	9.609	22	8	66	13.585	5.63	13.581	5.624	8.72	26	0.737	17598
284	A	M	1	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series076_w_nums.tif:1	12.598	126.186	73.89	255	7	255	22.716	19.731	22.877	19.624	1589.756	105	0.586	547775
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series076_w_nums.tif:2	12.598	37.792	15.307	35	7	105	22.985	19.462	23.009	19.437	476.116	37	0.508	164053
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series076_w_nums.tif:1	2.075	244.319	26.105	255	95	255	23.043	18.999	23.051	18.989	506.98	255	-2.847	174688
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series076_w_nums.tif:2	2.075	51.141	14.111	50	16	105	23.151	18.676	23.147	18.64	106.122	50	0.492	36566
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.16	92.127	25.064	99	39	169	21.616	19.246	21.617	19.239	14.705	92	0.136	5067
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.16	39.018	10.547	23	23	64	21.724	18.922	21.724	18.922	6.228	39	0.348	2146
284	A	D	1	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series076_w_nums.tif:1	5.964	120.773	76.555	255	7	255	22.216	16.139	22.212	16.252	720.293	101	0.542	248188
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series076_w_nums.tif:2	5.964	35.015	15.408	25	7	102	22.485	15.815	22.506	15.755	208.828	33	0.625	71955
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.737	237.961	33.891	255	94	255	22.016	16.994	22.02	16.989	175.415	255	-2.274	60442
				1	Slide1_060818	2	1	1	nuclei	EdU	11	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.737	36.669	11.653	34	9	80	22.286	16.617	22.28	16.591	27.031	35	0.684	9314
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	12	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.084	104.931	29.041	106	59	169	22.815	16.464	22.813	16.461	8.831	106	0.236	3043
				1	Slide1_060818	2	1	1	cytoplasm	EdU	13	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.084	41.621	12.388	27	23	71	23.03	16.14	23.033	16.141	3.503	42	0.506	1207
285	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series076_w_nums.tif:1	10.622	130.627	70.922	255	7	255	30.326	19.2	30.307	19.137	1387.524	118	0.402	478093
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series076_w_nums.tif:2	10.622	41.036	17.825	38	7	110	30.595	18.769	30.578	18.8	435.882	40	0.327	150190
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series076_w_nums.tif:1	1.379	247.196	21.183	255	122	255	30.448	18.671	30.447	18.676	340.771	255	-3.443	117418
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series076_w_nums.tif:2	1.379	58.215	14.202	56	25	106	30.717	18.294	30.701	18.314	80.252	57	0.403	27652
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.226	106.846	27.888	102	52	186	30.507	20.214	30.509	20.213	24.187	105	0.44	8334
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.226	43.192	11.443	39	21	77	30.668	19.784	30.666	19.767	9.778	41	0.31	3369
286	M	M	0	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series076_w_nums.tif:1	12.047	130.919	74.965	255	7	255	34.75	11.563	34.769	11.797	1577.186	109	0.513	543444
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series076_w_nums.tif:2	12.047	26.401	10.744	21	7	82	34.912	11.24	34.922	11.29	318.056	25	0.708	109591
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series076_w_nums.tif:1	2.322	243.754	29.335	255	70	255	35.314	12.287	35.3	12.285	565.939	255	-3.137	195003
				1	Slide1_060818	2	1	1	nuclei	EdU	11	MAX_slide1_060818.lif - Series076_w_nums.tif:2	2.322	34.215	10.533	33	11	70	35.475	11.856	35.48	11.83	79.439	33	0.449	27372
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	12	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.186	96.906	29.938	69	41	192	35.529	10.815	35.534	10.828	17.999	94	0.769	6202
				1	Slide1_060818	2	1	1	cytoplasm	EdU	13	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.186	26.234	10.098	19	12	72	35.798	10.384	35.787	10.371	4.873	24	1.88	1679
287	M	M	1	1	Slide1_060818	2	1	1	cell	DAPI	14	MAX_slide1_060818.lif - Series076_w_nums.tif:1	12.419	146.703	76.54	255	7	255	27.952	22.175	27.917	22.274	1821.839	127	0.255	627743
				1	Slide1_060818	2	1	1	cell	EdU	15	MAX_slide1_060818.lif - Series076_w_nums.tif:2	12.419	44.068	17.983	48	7	127	28.222	21.798	28.208	21.812	547.257	43	0.389	188566
				1	Slide1_060818	2	1	1	nuclei	DAPI	16	MAX_slide1_060818.lif - Series076_w_nums.tif:1	3.062	251.062	14.169	255	130	255	27.763	22.548	27.766	22.551	768.707	255	-4.51	264870
				1	Slide1_060818	2	1	1	nuclei	EdU	17	MAX_slide1_060818.lif - Series076_w_nums.tif:2	3.062	58.64	14.665	56	21	113	28.032	22.063	28.023	22.06	179.545	57	0.544	61865
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	18	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.389	107.761	30.846	80	28	190	29.491	22.004	29.469	22.008	41.908	106	0.159	14440
				1	Slide1_060818	2	1	1	cytoplasm	EdU	19	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.389	45.739	12.353	50	19	77	29.706	21.681	29.692	21.679	17.788	45	0.315	6129
288	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	20	MAX_slide1_060818.lif - Series076_w_nums.tif:1	8.733	127.376	75.493	255	7	255	19.604	23.006	19.606	23.09	1112.337	116	0.394	383273
				1	Slide1_060818	2	1	1	cell	EdU	21	MAX_slide1_060818.lif - Series076_w_nums.tif:2	8.733	33.02	15.783	29	7	93	19.82	22.629	19.8	22.617	288.354	31	0.581	99357
				1	Slide1_060818	2	1	1	nuclei	DAPI	22	MAX_slide1_060818.lif - Series076_w_nums.tif:1	1.457	246.243	20.329	255	121	255	20.026	23.444	20.03	23.448	358.753	255	-2.85	123614
				1	Slide1_060818	2	1	1	nuclei	EdU	23	MAX_slide1_060818.lif - Series076_w_nums.tif:2	1.457	48.221	13.396	42	17	93	20.188	23.066	20.185	23.04	70.254	47	0.433	24207
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	24	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.238	110.159	28.365	117	66	216	19.086	23.81	19.093	23.812	26.216	108	0.958	9033
				1	Slide1_060818	2	1	1	cytoplasm	EdU	25	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.238	32.573	10.744	35	14	67	19.248	23.433	19.26	23.433	7.752	31	0.988	2671
289	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	26	MAX_slide1_060818.lif - Series076_w_nums.tif:1	11.11	130.967	71.341	255	7	255	23.071	25.151	22.833	25.169	1454.995	114	0.45	501341
				1	Slide1_060818	2	1	1	cell	EdU	27	MAX_slide1_060818.lif - Series076_w_nums.tif:2	11.11	40.622	16.354	31	7	115	23.394	24.666	23.283	24.662	451.293	39	0.566	155500
				1	Slide1_060818	2	1	1	nuclei	DAPI	28	MAX_slide1_060818.lif - Series076_w_nums.tif:1	1.646	243.302	26.462	255	108	255	22.098	25.509	22.101	25.512	400.365	255	-2.8	137952
				1	Slide1_060818	2	1	1	nuclei	EdU	29	MAX_slide1_060818.lif - Series076_w_nums.tif:2	1.646	51.432	15.375	40	12	112	22.313	25.132	22.35	25.125	84.634	50	0.433	29162
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	30	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.192	97.758	23.532	93	54	154	24.05	24.434	24.05	24.444	18.725	97	0.239	6452
				1	Slide1_060818	2	1	1	cytoplasm	EdU	31	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.192	39.545	11.536	44	17	68	24.319	24.165	24.323	24.164	7.575	38	0.55	2610
290	M	M	1	1	Slide1_060818	2	1	1	cell	DAPI	32	MAX_slide1_060818.lif - Series076_w_nums.tif:1	14.238	142.027	72.272	255	7	255	14.364	36.722	14.286	36.952	2022.207	133	0.183	696783
				1	Slide1_060818	2	1	1	cell	EdU	33	MAX_slide1_060818.lif - Series076_w_nums.tif:2	14.238	39.744	15.468	40	8	104	14.525	36.399	14.543	36.435	565.878	39	0.392	194982
				1	Slide1_060818	2	1	1	nuclei	DAPI	34	MAX_slide1_060818.lif - Series076_w_nums.tif:1	2.09	251.765	12.829	255	135	255	14.433	37.46	14.432	37.459	526.086	255	-5.186	181271
				1	Slide1_060818	2	1	1	nuclei	EdU	35	MAX_slide1_060818.lif - Series076_w_nums.tif:2	2.09	50.426	12.987	44	22	100	14.649	37.029	14.647	37.017	105.37	50	0.565	36307
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	36	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.496	125.86	27.724	124	53	221	15.525	36.441	15.52	36.447	62.461	124	0.468	21522
				1	Slide1_060818	2	1	1	cytoplasm	EdU	37	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.496	44.643	11.307	48	19	94	15.741	36.172	15.743	36.182	22.155	44	0.846	7634
291	G1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	2	MAX_slide1_060818.lif - Series076_w_nums.tif:1	11.475	136.634	74.652	255	7	255	11.861	32.467	11.88	32.536	1567.916	127	0.212	540250
				1	Slide1_060818	2	1	1	cell	EdU	3	MAX_slide1_060818.lif - Series076_w_nums.tif:2	11.475	37.938	17.187	35	8	118	12.077	32.036	12.121	32.089	435.354	37	0.529	150008
				1	Slide1_060818	2	1	1	nuclei	DAPI	4	MAX_slide1_060818.lif - Series076_w_nums.tif:1	1.805	246.039	21.987	255	117	255	12.538	32.819	12.531	32.826	444.142	255	-3	153036
				1	Slide1_060818	2	1	1	nuclei	EdU	5	MAX_slide1_060818.lif - Series076_w_nums.tif:2	1.805	55.088	14.333	52	25	118	12.699	32.496	12.709	32.495	99.444	53	0.783	34265
				1	Slide1_060818	2	1	1	cytoplasm	DAPI	6	MAX_slide1_060818.lif - Series076_w_nums.tif:1	0.2	130.971	30.315	129	78	204	11.534	33.529	11.537	33.522	26.227	129	0.514	9037
				1	Slide1_060818	2	1	1	cytoplasm	EdU	7	MAX_slide1_060818.lif - Series076_w_nums.tif:2	0.2	36.174	9.931	34	20	83	11.75	33.152	11.746	33.145	7.244	35	1.629	2496
292	eG1	M	1	1	Slide1_060818	2	1	1	cell	DAPI	8	MAX_slide1_060818.lif - Series076_w_nums.tif:1	13.083	120.564	71.807	255	7	255	29.395	41.84	29.419	41.978	1577.352	102	0.571	543501
				1	Slide1_060818	2	1	1	cell	EdU	9	MAX_slide1_060818.lif - Series076_w_nums.tif:2	13.083	42.192	17.996	36	7	116	29.665	41.463	29.671	41.5	551.999	41	0.485	190200
				1	Slide1_060818	2	1	1	nuclei	DAPI	10	MAX_slide1_060818.lif - Series076_w_nums.tif:1	1.236	242.425	23.13	255	127	255	29.26	42.337	29.272	42.342	299.719	255	-2.143	103273
